Model,threshold,fpr,tpr
Metabolic + symptom,0.5310359452880705,0.11009174311926606,0.7358490566037735
Metabolic + symptom,0.5132558559039904,0.11926605504587157,0.7358490566037735
Metabolic + symptom,0.482419368018652,0.11926605504587157,0.7547169811320755
Metabolic + symptom,0.48218146345640234,0.12844036697247707,0.7547169811320755
Metabolic + symptom,0.477276211600838,0.13761467889908258,0.7547169811320755
Metabolic + symptom,0.4647508321657506,0.14678899082568808,0.7547169811320755
Metabolic + symptom,0.4605296004223332,0.1559633027522936,0.7547169811320755
Metabolic + symptom,0.4324769574381347,0.1651376146788991,0.7547169811320755
Metabolic + symptom,0.4283395337216699,0.1743119266055046,0.7547169811320755
Metabolic + symptom,0.4170535452810519,0.1834862385321101,0.7547169811320755
Metabolic + symptom,0.4121193205888249,0.1926605504587156,0.7547169811320755
Metabolic + symptom,0.40452815139694914,0.2018348623853211,0.7547169811320755
Metabolic + symptom,0.3480667392602322,0.21100917431192662,0.7547169811320755
Metabolic + symptom,0.33660242259262196,0.22018348623853212,0.7547169811320755
Metabolic + symptom,0.315356424264485,0.22935779816513763,0.7547169811320755
Metabolic + symptom,0.3085567754990596,0.22935779816513763,0.7735849056603774
Metabolic + symptom,0.30173875238509645,0.23853211009174313,0.7735849056603774
Metabolic + symptom,0.2836094379934782,0.23853211009174313,0.7924528301886793
Metabolic + symptom,0.2759586567035219,0.24770642201834864,0.7924528301886793
Metabolic + symptom,0.2697522381360247,0.25688073394495414,0.7924528301886793
Metabolic + symptom,0.2692605863418224,0.26605504587155965,0.7924528301886793
Metabolic + symptom,0.25264305153905675,0.27522935779816515,0.7924528301886793
Metabolic + symptom,0.24723489155096015,0.28440366972477066,0.7924528301886793
Metabolic + symptom,0.24398919445422662,0.28440366972477066,0.8113207547169812
Metabolic + symptom,0.23992998494510845,0.29357798165137616,0.8113207547169812
Metabolic + symptom,0.21631383356472728,0.30275229357798167,0.8113207547169812
Metabolic + symptom,0.21495963371605184,0.3119266055045872,0.8113207547169812
Metabolic + symptom,0.20723900656483632,0.3211009174311927,0.8113207547169812
Metabolic + symptom,0.1978658193664302,0.3302752293577982,0.8113207547169812
Metabolic + symptom,0.19501586267818852,0.3302752293577982,0.8301886792452831
Metabolic + symptom,0.1941669878332786,0.3394495412844037,0.8301886792452831
Metabolic + symptom,0.19278976290143843,0.3486238532110092,0.8301886792452831
Metabolic + symptom,0.19028982123689772,0.3577981651376147,0.8301886792452831
Metabolic + symptom,0.1776925870762071,0.3669724770642202,0.8301886792452831
Metabolic + symptom,0.17693692020393104,0.3761467889908257,0.8301886792452831
Metabolic + symptom,0.1728324482431076,0.3853211009174312,0.8301886792452831
Metabolic + symptom,0.17210376827764606,0.3944954128440367,0.8301886792452831
Metabolic + symptom,0.168583940850772,0.4036697247706422,0.8301886792452831
Metabolic + symptom,0.15877964047793883,0.41284403669724773,0.8301886792452831
Metabolic + symptom,0.15432431734892677,0.42201834862385323,0.8301886792452831
Metabolic + symptom,0.15244787075928548,0.43119266055045874,0.8301886792452831
Metabolic + symptom,0.14078310421098378,0.43119266055045874,0.8490566037735849
Metabolic + symptom,0.1385766374239605,0.44036697247706424,0.8490566037735849
Metabolic + symptom,0.13816820771312505,0.44954128440366975,0.8490566037735849
Metabolic + symptom,0.13441163298519523,0.44954128440366975,0.8679245283018868
Metabolic + symptom,0.13175116092932404,0.44954128440366975,0.8867924528301887
Metabolic + symptom,0.13114159779607523,0.45871559633027525,0.8867924528301887
Metabolic + symptom,0.12989624492200247,0.46788990825688076,0.8867924528301887
Metabolic + symptom,0.12851952232503783,0.46788990825688076,0.9056603773584906
Metabolic + symptom,0.1258024341990398,0.47706422018348627,0.9056603773584906
Metabolic + symptom,0.12024351103847554,0.48623853211009177,0.9056603773584906
Metabolic + symptom,0.11967705242315453,0.48623853211009177,0.9245283018867925
Metabolic + symptom,0.10921788124566294,0.48623853211009177,0.9433962264150944
Metabolic + symptom,0.10747650947215875,0.4954128440366973,0.9433962264150944
Metabolic + symptom,0.10674118342723321,0.5045871559633027,0.9433962264150944
Metabolic + symptom,0.10316901661753859,0.5045871559633027,0.9622641509433962
Metabolic + symptom,0.10079799193745713,0.5137614678899083,0.9622641509433962
Metabolic + symptom,0.10046686432115795,0.5229357798165137,0.9622641509433962
Metabolic + symptom,0.09737641471141088,0.5321100917431193,0.9622641509433962
Metabolic + symptom,0.09219248585757273,0.5412844036697247,0.9622641509433962
Metabolic + symptom,0.09158539266092769,0.5504587155963303,0.9622641509433962
Metabolic + symptom,0.08842828293409905,0.5596330275229358,0.9622641509433962
Metabolic + symptom,0.08536271280713432,0.5688073394495413,0.9622641509433962
Metabolic + symptom,0.08470463002659627,0.5779816513761468,0.9622641509433962
Metabolic + symptom,0.08328464627771297,0.5871559633027523,0.9622641509433962
Metabolic + symptom,0.08211995439606505,0.5963302752293578,0.9622641509433962
Metabolic + symptom,0.08108990614518558,0.6055045871559633,0.9622641509433962
Metabolic + symptom,0.07944641314678148,0.6146788990825688,0.9622641509433962
Metabolic + symptom,0.07828584413350106,0.6238532110091743,0.9622641509433962
Metabolic + symptom,0.07716370909575149,0.6330275229357798,0.9622641509433962
Metabolic + symptom,0.0753972368436208,0.6422018348623854,0.9622641509433962
Metabolic + symptom,0.0647588670446776,0.6513761467889908,0.9622641509433962
Metabolic + symptom,0.06288195219440551,0.6605504587155964,0.9622641509433962
Metabolic + symptom,0.062425748078314004,0.6697247706422018,0.9622641509433962
Metabolic + symptom,0.05967530270655893,0.6788990825688074,0.9622641509433962
